ImageID,US_Centric,Indian_Centric
en-Advicejew-222,Hate,Hate
en-American-Flag-Shotgun-Guy-134,Non-Hate,Non-Hate
en-American-Pride-Eagle-10,Non-Hate,Non-Hate
en-Angry-Muslim-Guy-180,Non-Hate,Non-Hate
en-Arabic-Meme-187,Hate,Hate
en-Asian-College-Freshman-49,Non-Hate,Non-Hate
en-Bad-Advice-Asian-111,Non-Hate,Non-Hate
en-Black-Kid-22,Hate,Hate
en-Condescending-Christian-120,Non-Hate,Hate
en-Confused-Muslim-Girl-216,Hate,Hate
en-Feminist-Cunt-139,Hate,Hate
en-Feministfrequently-105,Non-Hate,Non-Hate
en-Generic-Indian-Guy-29,Non-Hate,Non-Hate
en-Germany-Pls-128,Non-Hate,Non-Hate
en-Good-Chinese-Student-110,Non-Hate,Non-Hate
en-Indian-Father-178,Non-Hate,Non-Hate
en-Jesus-Christ-103,Non-Hate,Non-Hate
en-Jewish-Dude-106,Non-Hate,Hate
en-Like-A-Jew-112,Hate,Hate
en-Mexicanotriste-100,Non-Hate,Non-Hate
en-Mexicans-On-A-Truck-200,Non-Hate,Non-Hate
en-Muslim-Immigrant-152,Non-Hate,Non-Hate
en-Nia-China-272,Hate,Hate
en-Nice-White-Girl-83,Hate,Hate
en-Obese-American-118,Hate,Hate
en-Oppressive-Trans-Bro-194,Non-Hate,Hate
en-Policeman-221,Non-Hate,Non-Hate
en-Privilege-Abusing-White-Couple-130,Non-Hate,Non-Hate
en-Privilege-Denying-Feminist-153,Hate,Hate
en-Privilege-Denying-Tranny-147,Non-Hate,Hate
en-Richarabclap-182,Hate,Non-Hate
en-Sassy-Black-Woman-123,Non-Hate,Non-Hate
en-Scumbag-Catholic-Priest-166,Non-Hate,Non-Hate
en-Scumbag-Police-Officer-181,Non-Hate,Non-Hate
en-skeptical-black-kid-0,Non-Hate,Non-Hate
en-Stereotypical-Indian-Telemarketer-36,Non-Hate,Non-Hate
en-Stern-But-Honest-Chinese-Guy-101,Non-Hate,Non-Hate
en-Strict-Policeman-107,Hate,Hate
en-Success-Germany-104,Hate,Non-Hate
en-Successful-Mexican-18,Hate,Hate
en-Transvestite-Trevor-114,Non-Hate,Non-Hate
en-Troll-Asian-115,Non-Hate,Non-Hate
en-Typical-Germany-Lover-145,Hate,Hate
en-White-Power-Problems-119,Hate,Hate
en-Y-U-So-Arab-122,Non-Hate,Non-Hate
